topology,K,p,k,realization,baseSeed,runSeed,outputDir,status
complete,0.40,,,3,20260527,-7325753916360219751,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.40/seed_0003,OK
complete,0.40,,,4,20260527,-7325753916360219750,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.40/seed_0004,OK
complete,0.40,,,5,20260527,-7325753916360219749,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.40/seed_0005,OK
complete,0.40,,,6,20260527,-7325753916360219748,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.40/seed_0006,OK
complete,0.40,,,7,20260527,-7325753916360219747,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.40/seed_0007,OK
complete,0.40,,,9,20260527,-7325753916360219745,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.40/seed_0009,OK
complete,0.40,,,8,20260527,-7325753916360219746,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.40/seed_0008,OK
complete,0.40,,,10,20260527,-7325753916360219744,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.40/seed_0010,OK
complete,0.40,,,12,20260527,-7325753916360219742,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.40/seed_0012,OK
complete,0.40,,,14,20260527,-7325753916360219740,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.40/seed_0014,OK
complete,0.40,,,13,20260527,-7325753916360219741,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.40/seed_0013,OK
complete,0.40,,,11,20260527,-7325753916360219743,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.40/seed_0011,OK
complete,0.40,,,15,20260527,-7325753916360219739,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.40/seed_0015,OK
complete,0.50,,,3,20260527,-8999291537891107981,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.50/seed_0003,OK
complete,0.50,,,4,20260527,-8999291537891107980,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.50/seed_0004,OK
complete,0.50,,,5,20260527,-8999291537891107979,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.50/seed_0005,OK
complete,0.50,,,1,20260527,-8999291537891107983,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.50/seed_0001,OK
complete,0.50,,,2,20260527,-8999291537891107982,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.50/seed_0002,OK
complete,0.50,,,10,20260527,-8999291537891107974,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.50/seed_0010,OK
complete,0.50,,,6,20260527,-8999291537891107978,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.50/seed_0006,OK
complete,0.50,,,8,20260527,-8999291537891107976,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.50/seed_0008,OK
complete,0.50,,,7,20260527,-8999291537891107977,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.50/seed_0007,OK
complete,0.50,,,9,20260527,-8999291537891107975,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.50/seed_0009,OK
complete,0.50,,,11,20260527,-8999291537891107973,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.50/seed_0011,OK
complete,0.50,,,12,20260527,-8999291537891107972,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.50/seed_0012,OK
complete,0.50,,,13,20260527,-8999291537891107971,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.50/seed_0013,OK
complete,0.50,,,14,20260527,-8999291537891107970,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.50/seed_0014,OK
complete,0.50,,,15,20260527,-8999291537891107969,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.50/seed_0015,OK
complete,0.60,,,1,20260527,-612688311801776290,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.60/seed_0001,OK
complete,0.60,,,2,20260527,-612688311801776289,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.60/seed_0002,OK
complete,0.60,,,4,20260527,-612688311801776287,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.60/seed_0004,OK
complete,0.60,,,3,20260527,-612688311801776288,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.60/seed_0003,OK
complete,0.60,,,5,20260527,-612688311801776286,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.60/seed_0005,OK
complete,0.60,,,8,20260527,-612688311801776283,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.60/seed_0008,OK
complete,0.60,,,9,20260527,-612688311801776282,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.60/seed_0009,OK
complete,0.60,,,10,20260527,-612688311801776281,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.60/seed_0010,OK
complete,0.60,,,6,20260527,-612688311801776285,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.60/seed_0006,OK
complete,0.60,,,7,20260527,-612688311801776284,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.60/seed_0007,OK
complete,0.60,,,15,20260527,-612688311801776276,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.60/seed_0015,OK
complete,0.60,,,14,20260527,-612688311801776277,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.60/seed_0014,OK
complete,0.60,,,11,20260527,-612688311801776280,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.60/seed_0011,OK
complete,0.60,,,12,20260527,-612688311801776279,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.60/seed_0012,OK
complete,0.60,,,13,20260527,-612688311801776278,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.60/seed_0013,OK
complete,0.70,,,1,20260527,7773914914287555403,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.70/seed_0001,OK
complete,0.70,,,2,20260527,7773914914287555404,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.70/seed_0002,OK
complete,0.70,,,3,20260527,7773914914287555405,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.70/seed_0003,OK
complete,0.70,,,4,20260527,7773914914287555406,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.70/seed_0004,OK
complete,0.70,,,5,20260527,7773914914287555407,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.70/seed_0005,OK
complete,0.70,,,6,20260527,7773914914287555408,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.70/seed_0006,OK
complete,0.70,,,7,20260527,7773914914287555409,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.70/seed_0007,OK
complete,0.70,,,8,20260527,7773914914287555410,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.70/seed_0008,OK
complete,0.70,,,9,20260527,7773914914287555411,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.70/seed_0009,OK
complete,0.70,,,10,20260527,7773914914287555412,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.70/seed_0010,OK
complete,0.70,,,12,20260527,7773914914287555414,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.70/seed_0012,OK
complete,0.70,,,13,20260527,7773914914287555415,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.70/seed_0013,OK
complete,0.70,,,14,20260527,7773914914287555416,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.70/seed_0014,OK
complete,0.70,,,11,20260527,7773914914287555413,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.70/seed_0011,OK
complete,0.70,,,15,20260527,7773914914287555417,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.70/seed_0015,OK
complete,0.80,,,3,20260527,-2286225933332634727,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.80/seed_0003,OK
complete,0.80,,,4,20260527,-2286225933332634726,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.80/seed_0004,OK
complete,0.80,,,1,20260527,-2286225933332634729,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.80/seed_0001,OK
complete,0.80,,,5,20260527,-2286225933332634725,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.80/seed_0005,OK
complete,0.80,,,2,20260527,-2286225933332634728,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.80/seed_0002,OK
complete,0.80,,,6,20260527,-2286225933332634724,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.80/seed_0006,OK
complete,0.80,,,10,20260527,-2286225933332634720,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.80/seed_0010,OK
complete,0.80,,,7,20260527,-2286225933332634723,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.80/seed_0007,OK
complete,0.80,,,8,20260527,-2286225933332634722,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.80/seed_0008,OK
complete,0.80,,,9,20260527,-2286225933332634721,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.80/seed_0009,OK
complete,0.80,,,11,20260527,-2286225933332634719,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.80/seed_0011,OK
complete,0.80,,,12,20260527,-2286225933332634718,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.80/seed_0012,OK
complete,0.80,,,13,20260527,-2286225933332634717,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.80/seed_0013,OK
complete,0.80,,,14,20260527,-2286225933332634716,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.80/seed_0014,OK
complete,0.80,,,15,20260527,-2286225933332634715,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.80/seed_0015,OK
complete,0.90,,,2,20260527,6100377292756696965,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.90/seed_0002,OK
complete,0.90,,,1,20260527,6100377292756696964,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.90/seed_0001,OK
complete,0.90,,,3,20260527,6100377292756696966,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.90/seed_0003,OK
complete,0.90,,,5,20260527,6100377292756696968,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.90/seed_0005,OK
complete,0.90,,,4,20260527,6100377292756696967,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.90/seed_0004,OK
complete,0.90,,,8,20260527,6100377292756696971,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.90/seed_0008,OK
